case,cost,ROI,Outcomes,Profit_Chance,Profit_Stat,Min_Return,Min_Return_p,Avg_loss_return,Avg_loss_return_p,Max_Return,Max_Return_p,Avg_gain_return,Avg_gain_return_p,Roll_50,Roll_50_p,Roll_100,Roll_100_p,Roll_1000,Roll_1000_p,Roll_100000,Roll_100000_p
Broken Fang Case,3.5,-990.2362857142871,22,20.233,79767,-3.09,11.714285714285714,-182.56499000000002,-52.16142571428572,154.67,4519.142857142857,147.90671999999998,42.25906285714285,-73.57999999999998,-43.797619047619044,-113.06999999999996,-31.985855728429975,-289.8600000000001,-8.281714285714289,-34658.27000000008,-9.90236285714288
Control Case,6.0,-993.4756666666667,18,12.846,87154,-5.51,8.166666666666666,-367.27292,-61.21215333333333,182.28,3138.0,307.66437999999994,51.277396666666654,-90.41,-30.75170068027211,-183.23000000000002,-30.84680134680135,-596.8199999999997,-9.946999999999996,-59608.54000000004,-9.934756666666674
Havoc Case,3.0,-992.2286666666663,22,13.445,86555,-2.71,9.666666666666666,-180.04645,-60.01548333333333,148.58,5052.666666666667,150.27959,50.09319666666667,-34.45,-22.516339869281047,-116.15999999999997,-39.91752577319587,-269.0900000000006,-8.969666666666686,-29766.860000000044,-9.92228666666668
Ancient Case,8.0,-1005.567000000002,19,9.122,90878,-7.45,6.875000000000001,-620.66786,-77.5834825,742.96,9387.0,540.2225,67.5278125,-287.59999999999997,-71.89999999999999,250.16000000000008,31.585858585858595,-935.8100000000004,-11.685939060939067,-80445.35999999987,-10.055669999999983
4 PRO Case,4.0,-997.6252499999996,15,2.124,97876,-3.92,2.0,-375.1406,-93.78515,557.3,14032.499999999998,335.23559,83.8088975,-188.1,-95.96938775510205,183.10000000000002,45.775000000000006,-309.27000000000044,-7.731750000000011,-39905.01000000001,-9.976252500000001
Piece of Luck Case,40.0,-990.6848499999999,8,21.418,78582,-39.95,0.125,-3069.59033,-76.73975825,831.74,2179.3500000000004,2673.31639,66.83290975,-106.0,-5.196078431372549,-831.2900000000004,-20.576485148514863,-4165.690000000002,-10.424649649649655,-396273.93999999994,-9.906848499999999
Winner Set Case,50.0,-1009.0245600000003,19,23.912,76088,-48.18,3.64,-2974.47538,-59.489507599999996,860.79,1821.5799999999997,2469.9631,49.399262,-276.24000000000024,-10.424150943396235,-404.21000000000004,-8.084200000000001,-5861.650000000009,-11.770381526104435,-504512.27999999933,-10.090245599999987
AK-47 Battle Case,5.0,-990.0822000000002,32,24.748,75252,-4.75,5.0,-261.67669,-52.335338,95.21,2004.1999999999998,212.17257999999998,42.434515999999995,-92.91,-37.922448979591834,-174.25,-35.92783505154639,-484.6800000000003,-9.664606181455639,-49504.109999999986,-9.900821999999996
AWP Battle Case,5.0,-993.9309999999996,32,18.166,81834,-4.73,5.4,-292.42854000000005,-58.48570800000001,217.98,4459.599999999999,242.73199000000002,48.546398,-133.56,-56.83404255319149,-216.7,-44.224489795918366,-385.8699999999999,-7.725125125125124,-49696.54999999999,-9.939309999999997
Balance Battle Case,5.0,-1000.1367999999995,9,16.119,83881,-4.97,0.6,-365.26515,-73.05303,96.46,2029.1999999999998,315.25831,63.051662,-1.8400000000000318,-0.7076923076923199,-63.69,-12.866666666666665,-475.0699999999997,-9.501399999999995,-50006.83999999997,-10.001367999999994
Covert Battle Case,15.5,-990.2934838709671,47,22.542,77458,-13.31,14.129032258064516,-677.89204,-43.734970322580644,492.1,3274.8387096774195,524.39655,33.83203548387097,-301.01,-40.45833333333333,-337.94000000000005,-22.247531270572747,-1351.0599999999977,-8.707808320711532,-153495.48999999976,-9.902934838709662
Top Battle Case,199.0,-998.979251256282,24,22.308,77692,-143.24,28.020100502512562,-8445.18453,-42.4381132160804,2635.18,1424.211055276382,6457.215819999999,32.44832070351759,-3029.8199999999997,-31.719221105527634,-2122.260000000002,-10.559032787700891,-20127.96000000002,-10.114552763819106,-1987968.710000001,-9.989792512562818
Ultraviolet Case,19.99,-994.5795897948971,11,16.188,83812,-17.82,10.855427713856928,-1275.5419399999998,-63.80900150075037,252.14,1361.3306653326663,1076.72548,53.86320560280141,49.749999999999886,5.0790701473185464,-241.66999999999985,-12.089544772386187,-1905.8300000000017,-9.533916958479248,-198816.45999999973,-9.945795897948964
